Timestamp	Application	Package Name	Hidden	Boot Timestamp	Timezone	Total Power	Consumed Power	% Of Consumed	Foreground Usage (Seconds)	Background Usage (Seconds)	Battery Level (%)	Battery Status	Source File
2025-07-24 17:11:50		fake_package		2025-07-24 17:08:55	Europe/Dublin	0.0	0.0	0.0	0.0	0.0	100		/Users/roshan/Mobilescan/backend/reports/aleapp/aleapp-b4b5be/ALEAPP_Reports_2025-08-10_Sunday_114535/data/data/com.google.android.settings.intelligence/databases/battery-usage-db-v4
2025-07-31 12:19:35		fake_package		2025-07-31 11:59:55	Europe/Dublin	0.0	0.0	0.0	0.0	0.0	100		/Users/roshan/Mobilescan/backend/reports/aleapp/aleapp-b4b5be/ALEAPP_Reports_2025-08-10_Sunday_114535/data/data/com.google.android.settings.intelligence/databases/battery-usage-db-v4
